per_model_file,target,learner,cv,experiment,n_train,n_test,R2,MAE,RMSE,MRE
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter13_seed12042,71775.0,17944.0,0.5140889684663472,156.37314011525584,409.81844189369104,249.32311165210527
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter14_seed13042,71775.0,17944.0,0.5738118067536351,146.50322407835642,384.6363048111582,188.12684762157625
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter15_seed14042,71775.0,17944.0,0.5570105234048053,148.05574922970743,401.6425727807963,198.50191651206077
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter16_seed15042,71775.0,17944.0,0.5244106347658086,147.98760373078025,387.69512045525,201.50768361426935
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter17_seed16042,71775.0,17944.0,0.5382808243502576,160.13249367267736,416.23905143931967,271.93517825716145
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter18_seed17042,71775.0,17944.0,0.4962139597738888,152.664575612463,396.51021495899573,213.00193681313564
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter19_seed18042,71775.0,17944.0,0.5448853227932264,149.02708576450794,397.76956909091905,185.52307452316748
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter20_seed19042,71775.0,17944.0,0.5386340485662048,149.83539447228063,399.854680055291,213.30396982730537
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter21_seed20042,71775.0,17944.0,0.5344060927445182,148.16660253126457,393.2631125363492,171.58818031230848
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter22_seed21042,71775.0,17944.0,0.5112011647055577,158.87438057230517,418.94145717630704,265.1755316653437
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter23_seed22042,71775.0,17944.0,0.5460999455984934,150.90162214080593,402.190653884051,218.8443362103171
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter24_seed23042,71775.0,17944.0,0.5433435209199016,156.86120887959683,409.5963396684198,232.9264643906134
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter25_seed24042,71775.0,17944.0,0.5020503699723129,158.79493107727663,411.7813758347284,239.77227057738676
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter26_seed25042,71775.0,17944.0,0.5550897523004308,146.71029525601685,399.1232898045548,194.61993045635796
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter27_seed26042,71775.0,17944.0,0.5336399347663447,154.5938591215275,418.681243161447,196.46377856529617
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter28_seed27042,71775.0,17944.0,0.5260209814638679,155.20189646755534,390.8937084064586,222.10473449250512
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter29_seed28042,71775.0,17944.0,0.5268748362456575,157.9517132985653,415.617433626004,216.60448752975597
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter30_seed29042,71775.0,17944.0,0.5525565767024215,149.09096749846788,396.29468315036854,187.44881550824616
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter01_seed42,71775.0,17944.0,0.5134597215293436,149.19216271663984,407.45787469915473,173.89116300815647
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter02_seed1042,71775.0,17944.0,0.537816819327884,148.2904320291841,390.7115977838642,170.77792553219538
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter03_seed2042,71775.0,17944.0,0.554964199123873,148.49725221482538,401.6308432611568,163.8774862586654
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter04_seed3042,71775.0,17944.0,0.5678126027931768,147.2504576879331,385.56358507947897,171.33833465207223
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter05_seed4042,71775.0,17944.0,0.5335655236930036,149.14793121861544,402.6434663425016,170.12098983571912
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter06_seed5042,71775.0,17944.0,0.5228399029017038,146.93895419514277,390.2242354546298,168.740181238594
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter07_seed6042,71775.0,17944.0,0.5496957005797896,147.48322557120724,392.33350760667565,167.38211387909033
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter08_seed7042,71775.0,17944.0,0.5527893037447951,145.58930953632984,393.1892393841396,171.88734549766562
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter09_seed8042,71775.0,17944.0,0.534562579549613,150.22872937071384,407.9702583209988,170.35538569667995
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter10_seed9042,71775.0,17944.0,0.550757753377201,146.49830071042535,388.6364789507744,170.17900701566785
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter11_seed10042,71775.0,17944.0,0.5197448546108032,153.9667052596172,429.070161290112,169.97996688477352
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter12_seed11042,71775.0,17944.0,0.5509866904060791,146.5831927206052,381.95969280577253,171.39190133029615
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter13_seed12042,71775.0,17944.0,0.5270972698807808,148.41967211166943,404.2956131614007,172.15444283359437
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter14_seed13042,71775.0,17944.0,0.5640958550757117,147.4409189450658,388.99593767802173,166.75822215123995
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter15_seed14042,71775.0,17944.0,0.5518048313336643,149.23363753880443,403.99558681529686,165.62946337407502
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter16_seed15042,71775.0,17944.0,0.5108005044264063,148.78436480574803,393.20340311165023,169.6849480911282
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter17_seed16042,71775.0,17944.0,0.5547091620207325,150.84161185139362,408.7669241533074,171.53065670882222
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter18_seed17042,71775.0,17944.0,0.4921656661767685,148.64438213329535,398.1001537489114,162.51708472261996
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter19_seed18042,71775.0,17944.0,0.5309512707915213,150.48956151435584,403.8128324580955,179.25967537138376
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter20_seed19042,71775.0,17944.0,0.526240099921467,149.64113367117474,405.1898543609287,173.8617136350419
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter21_seed20042,71775.0,17944.0,0.5309874441992382,148.9656906046915,394.7042498461616,170.83121480794475
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter22_seed21042,71775.0,17944.0,0.5134843127064288,150.52646231167878,417.9618876261199,170.24466378619508
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter23_seed22042,71775.0,17944.0,0.547234126289005,148.37431720873283,401.68785356417663,169.67510836796455
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter24_seed23042,71775.0,17944.0,0.5486597860955251,150.71909753836047,407.2051577377042,168.71902094665813
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter25_seed24042,71775.0,17944.0,0.4984705285700667,152.23538606378136,413.25890689604495,170.8990469966403
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter26_seed25042,71775.0,17944.0,0.5517912573791501,146.74771660553114,400.60007648468326,169.05086399351163
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,rf_light,split80_20,baseline_split80_rf_light_iter27_seed26042,71775.0,17944.0,0.528483395864258,152.51683180107352,420.9895572557455,165.87960050114964
