experiment,learner,cv,target,per_model_file,n_train,n_test,R2,MAE,RMSE,MRE(%),run_id,experiment_folder,learner_folder,model_tag
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_llama-7b,136974,34244,0.112360676453201,273.04585800552553,758.6983620170421,172.18529117804084,2026-01-13_114932,baseline_split80,nn,data_llama-7b
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.0139456990450967,235.73292575945663,580.061086544865,462.6393053707907,2026-01-13_115017,baseline_split80_llm,pilot,data_EleutherAI_gpt-neox-20b
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,-0.0001441944586699,167.85640870108523,420.7340509842488,1946.7849653117744,2026-01-13_115017,baseline_split80_llm,pilot,data_Salesforce_codegen2-16B
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.0204726743145121,243.318048716084,595.3046866967798,340.44796450245286,2026-01-13_115017,baseline_split80_llm,pilot,data_bigcode_starcoder
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_bigscience_mt0-xxl,8564,2142,0.0072418532401303,242.50482064741743,513.5786829748201,746.0629942329965,2026-01-13_115017,baseline_split80_llm,pilot,data_bigscience_mt0-xxl
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xl,110639,27660,0.0117949869911224,169.729979978316,428.16006389938633,689.6614274202337,2026-01-13_115017,baseline_split80_llm,pilot,data_google_flan-t5-xl
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xxl,62337,15585,0.009226805875896,161.0508909582213,402.7061444035911,820.2814733522997,2026-01-13_115017,baseline_split80_llm,pilot,data_google_flan-t5-xxl
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_google_flan-ul2,36684,9172,0.0055451696254242,142.7762732105274,358.30403464063903,657.0932666636389,2026-01-13_115017,baseline_split80_llm,pilot,data_google_flan-ul2
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_ibm_mpt-7b-instruct2,15268,3818,0.0078465792954401,326.14988980570735,768.090585145669,1709.2589690808002,2026-01-13_115017,baseline_split80_llm,pilot,data_ibm_mpt-7b-instruct2
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_llama-13b,95432,23859,0.018542055275368,254.18901685541653,642.5164006448874,437.39145459108863,2026-01-13_115017,baseline_split80_llm,pilot,data_llama-13b
baseline_split80,llm_pilot,split80_20,Target_throughput_tokens_per_sec,data_llama-7b,136974,34244,0.0168773075629516,312.8501494883917,798.4628964983835,422.5061754402964,2026-01-13_115017,baseline_split80_llm,pilot,data_llama-7b
