LLM,Metric,Method,Rank,Mean,Std,IQR,n_runs
Salesforce_codegen2-16B,R2,lr,3,0.23774420955580391,0.02475377332626302,0.028022801681181292,30
Salesforce_codegen2-16B,R2,nn,3,0.30482048768096465,0.06961858990442422,0.10043318715420127,30
Salesforce_codegen2-16B,R2,rf,3,0.2876748517803017,0.14137093124634886,0.12892695704019233,30
Salesforce_codegen2-16B,R2,ridge,3,0.2377520126474775,0.024737916492890536,0.028021353499426777,30
Salesforce_codegen2-16B,R2,dcpl_gate_lr,2,0.31110073153300566,0.09191116789370864,0.11049945895288898,30
Salesforce_codegen2-16B,R2,dcpl_gate_nn,2,0.2981796720244283,0.09619558572059647,0.10988319804519175,30
Salesforce_codegen2-16B,R2,dcpl_gate_rf,4,0.2014253141847467,0.13396943008844506,0.13434393981931916,30
Salesforce_codegen2-16B,R2,dcpl_gate_ridge,1,0.31156898621293855,0.09209883601144128,0.11049991132355069,30
Salesforce_codegen2-16B,MAE,DaL,7,143.1969419538991,12.091245900659743,9.670285699755652,29
Salesforce_codegen2-16B,MAE,llm_pilot,4,116.0922116087376,6.545886265705628,8.50441665188606,30
Salesforce_codegen2-16B,MAE,lr,4,141.0159639037107,5.812157451432021,8.840093801158815,30
Salesforce_codegen2-16B,MAE,nn,2,125.1549507848291,6.160502255047245,8.196614945628482,30
Salesforce_codegen2-16B,MAE,rf,5,121.76003912738929,6.203105063645548,9.420728538298064,30
Salesforce_codegen2-16B,MAE,ridge,5,141.00191145372702,5.812706821690898,8.838279319064071,30
Salesforce_codegen2-16B,MAE,dcpl_gate_lr,5,126.25207058666054,7.486505290986237,10.181869316955684,30
Salesforce_codegen2-16B,MAE,dcpl_gate_nn,1,123.79505777813087,9.35262361389209,10.517668508962316,30
Salesforce_codegen2-16B,MAE,dcpl_gate_rf,6,134.0361367140357,7.371384217123086,11.825085453382172,30
Salesforce_codegen2-16B,MAE,dcpl_gate_ridge,3,125.99809208290824,6.986029280559624,10.157208206901515,30
Salesforce_codegen2-16B,RMSE,DaL,4,383.60937467717054,11.487678756075262,18.87897821196094,29
Salesforce_codegen2-16B,RMSE,llm_pilot,2,316.9840865536557,37.036121764871,59.57283729879566,30
Salesforce_codegen2-16B,RMSE,lr,2,347.8567779885222,38.52402095987748,41.08067310654087,30
Salesforce_codegen2-16B,RMSE,nn,2,330.90318940826506,30.764366915318416,29.294584946910845,30
Salesforce_codegen2-16B,RMSE,rf,3,333.373376175894,34.890646821600534,56.999112505044536,30
Salesforce_codegen2-16B,RMSE,ridge,3,347.85557554025974,38.52796981796161,41.08653769495538,30
Salesforce_codegen2-16B,RMSE,dcpl_gate_lr,3,329.3442761433855,35.457309268430656,55.95433880610085,30
Salesforce_codegen2-16B,RMSE,dcpl_gate_nn,3,332.9418127154071,41.43883933253384,60.31680091764662,30
Salesforce_codegen2-16B,RMSE,dcpl_gate_rf,3,353.8152289639796,36.95516209495041,49.85856521250565,30
Salesforce_codegen2-16B,RMSE,dcpl_gate_ridge,1,329.2303290467489,35.4961968867883,55.95885816595205,30
Salesforce_codegen2-16B,MRE,DaL,7,880.8689730818779,269.2364180531625,102.72930152952983,29
Salesforce_codegen2-16B,MRE,llm_pilot,2,385.1345520209748,27.807174103765703,46.55046880791451,30
Salesforce_codegen2-16B,MRE,lr,2,549.4613494644256,54.973229733428745,50.04118785069659,30
Salesforce_codegen2-16B,MRE,nn,1,396.7409240269135,71.49312823684463,91.24944020424749,30
Salesforce_codegen2-16B,MRE,rf,1,287.37548537655687,21.855211110404106,35.28615658512831,30
Salesforce_codegen2-16B,MRE,ridge,1,549.1252326980778,54.94089141533881,50.03661360517617,30
Salesforce_codegen2-16B,MRE,dcpl_gate_lr,6,668.0068627672227,98.90566730783269,81.70458860780604,30
Salesforce_codegen2-16B,MRE,dcpl_gate_nn,4,558.81433883036,226.7152729874526,156.58220606418058,30
Salesforce_codegen2-16B,MRE,dcpl_gate_rf,3,482.60955155194625,52.205753094369875,54.05627558435964,30
Salesforce_codegen2-16B,MRE,dcpl_gate_ridge,5,664.1946555486612,96.36309410179219,73.70886062287002,30
bigcode_starcoder,R2,DaL,7,0.12912099602504384,0.1797631718288862,0.014055190742013168,30
bigcode_starcoder,R2,llm_pilot,7,0.4892053739711693,0.014842483273273468,0.020960604580000042,30
bigcode_starcoder,R2,lr,7,0.3173514203205377,0.006543944914018697,0.007773777887644384,30
bigcode_starcoder,R2,nn,5,0.45269983265895597,0.01844412832940987,0.016372494237251012,30
bigcode_starcoder,R2,rf,3,0.6218901737582873,0.018310176625134143,0.028312394421355802,30
bigcode_starcoder,R2,ridge,6,0.31735142602690397,0.006543893443473355,0.007773625631866676,30
bigcode_starcoder,R2,dcpl_gate_lr,2,0.6314661257481825,0.015012264207921244,0.019121328406892735,30
bigcode_starcoder,R2,dcpl_gate_nn,4,0.6344625227684653,0.01605336260894771,0.023921691833696967,30
bigcode_starcoder,R2,dcpl_gate_rf,4,0.6072876823310291,0.02187034282116771,0.02757626731924856,30
bigcode_starcoder,R2,dcpl_gate_ridge,1,0.6314661280106669,0.015012266601178565,0.0191213451889245,30
bigcode_starcoder,MAE,DaL,8,223.98737926171518,20.125406184038933,13.789318000207771,30
bigcode_starcoder,MAE,llm_pilot,6,157.19366762946476,2.0941402465309116,2.8775726264491936,30
bigcode_starcoder,MAE,lr,6,204.53118826135218,1.6420939633716896,2.1396727751815376,30
bigcode_starcoder,MAE,nn,5,162.89419037589823,3.4576937325574733,5.418484731975724,30
bigcode_starcoder,MAE,rf,2,130.17824782879603,1.692670673143255,1.4793469565844362,30
bigcode_starcoder,MAE,ridge,7,204.53029876622224,1.6421009263420825,2.1396688522401917,30
bigcode_starcoder,MAE,dcpl_gate_lr,1,130.76029289038888,1.6666989895513797,2.20416170043697,30
bigcode_starcoder,MAE,dcpl_gate_nn,1,128.6969998471381,2.2432096328201023,1.465465942377051,30
bigcode_starcoder,MAE,dcpl_gate_rf,4,132.09505780372592,2.0161055651611908,3.2493910623729505,30
bigcode_starcoder,MAE,dcpl_gate_ridge,3,130.76029028463043,1.666681565164226,2.2040614894674775,30
bigcode_starcoder,RMSE,DaL,7,574.859413413188,50.059811821837364,5.194605041082127,30
bigcode_starcoder,RMSE,llm_pilot,5,440.9492016390956,10.11954582156485,7.975708426109122,30
bigcode_starcoder,RMSE,lr,5,509.8857528503034,13.12334183034871,12.858554365985412,30
bigcode_starcoder,RMSE,nn,4,456.4423248104369,12.169216949002356,12.25582598559231,30
bigcode_starcoder,RMSE,rf,3,379.2949357681725,10.919628637180445,11.171613471351918,30
bigcode_starcoder,RMSE,ridge,6,509.8857523682875,13.123398318472224,12.858653870453338,30
bigcode_starcoder,RMSE,dcpl_gate_lr,1,374.5218343884975,10.753889058357037,7.543210003622562,30
bigcode_starcoder,RMSE,dcpl_gate_nn,2,372.9692657085353,10.652039950680617,9.045868187361805,30
bigcode_starcoder,RMSE,dcpl_gate_rf,2,386.5321243306277,13.0055514800565,16.35328339748446,30
bigcode_starcoder,RMSE,dcpl_gate_ridge,2,374.5218332035278,10.753889658856108,7.5432072903061,30
bigcode_starcoder,MRE,DaL,8,341.05485351881106,47.022981582937796,60.58641189271174,30
bigcode_starcoder,MRE,llm_pilot,7,147.1316136624792,3.678780444625113,3.241316987004211,30
bigcode_starcoder,MRE,lr,7,255.3361101646141,4.357925820333592,4.25655892712706,30
bigcode_starcoder,MRE,nn,5,126.15011132244929,6.359141381750325,5.884671613104842,30
