per_model_file,target,cv,learner,framework,R2,MAE,RMSE,MRE
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.3495045777143283,183.96304393292303,497.7244768969279,164.44302950605592
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.1920458722821036,215.72365657802442,472.720140612052,436.59554845653946
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.3321827700230967,197.4924336869665,429.20968689359063,476.69256559669697
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.3339747455371782,191.14930497537787,427.96149782029966,389.17856760966896
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.1920483280237217,215.72147930844417,472.719654937185,436.6171685024139
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.2177237780661591,210.65810911406157,464.9490669149282,471.464915233143
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.3338643330189516,198.11328278395027,429.071128506567,420.3303210913549
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.3333764773045686,191.2386770494634,428.13252216656304,389.190752042362
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.2177247227786485,210.65781268665515,464.9488647624417,471.45761528610154
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.26359637514913803,140.05377935862688,373.1540461033567,260.8853690228123
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.4817232937586213,115.76852616223407,312.9762642781247,304.54252657717575
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.466847345363089,114.69679257871758,317.43511465534874,273.02673084292655
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.2635964071282128,140.05347406714833,373.1540397564267,260.88520528503005
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.2932262972975917,135.10898166899963,365.5372570411915,319.67022866009967
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.4846039451537269,115.28014012080682,312.1218096193027,293.1028453403412
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.4667200072658184,114.7359177940231,317.47327968980557,273.16667672672713
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.2932263357173229,135.1089509989662,365.5372480234693,319.6698121954509
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.2506032600116408,137.8242936715604,355.7624064958129,336.98583352156794
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.45059905169373765,117.58904419440253,304.4563748001081,387.92769933710457
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.4316322418128319,116.70092019482144,309.6188695029458,338.7935891972255
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.2506031254852243,137.82388802022697,355.76244198964883,336.984974191796
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.2760272663183121,133.94790015065394,349.640043798835,390.08568155113215
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.4533252530679678,117.01661240483128,303.7197077798415,360.2767341970494
