model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MRE_mean,MRE_std,MRE_median,MRE_min,MRE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔMAE_mean,ΔMAE_std,ΔMAE_median,ΔMAE_min,ΔMAE_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔMRE_mean,ΔMRE_std,ΔMRE_median,ΔMRE_min,ΔMRE_max
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6358654995158193,0.023041434403532617,0.6324227411678766,0.5887457369873185,0.6887644378264828,85.30977915260804,1.4862103643557203,84.76972482197544,83.28769566793513,88.97016775869041,247.8000103685139,11.822963390706354,246.8357399319002,227.36957415089455,272.8487172163454,195.55432931036083,3.440792945866532,195.11455223744474,187.76594182108383,202.54684866982169,6.425749165003903e-05,0.0020435581885099594,0.0002557405612193,-0.0085991903843447,0.0031126978132551,0.034136330334515685,0.22575168841594992,0.005522941516829799,-0.2582253370878078,0.7735173461543212,-0.03474905531945183,0.6631985796870118,-0.0844799225436645,-1.040612332496096,2.7171449666109027,0.6518458743599145,1.8311297379176559,0.2755792673960116,-1.7797953814307448,5.578541942616425
data_google_flan-t5-xxl,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6531645154122987,0.02235942301457341,0.652789564888818,0.6127301880432496,0.705669814946974,83.43387174299961,1.4323810417251455,82.9877000107963,81.53053923436907,86.93260234735446,241.78562766001093,10.453708816618986,240.38018364527872,221.42541014599695,263.5926296896749,168.26536781933706,4.444942141397067,166.8439397535439,161.02477685058997,178.96139238937465,0.01736327338812956,0.009054678937362233,0.0188803079359678,-0.012606465108672,0.0322668952917529,-1.8417710792739064,0.43972244817882156,-1.8966480655136169,-2.7784991926257305,-0.5166614432302907,-6.0491317638224125,3.133099523690177,-6.347320814741849,-11.88606672053018,3.961796262866585,-26.63711561666385,3.6259190240834664,-26.9055865831167,-32.2808293194571,-15.40924163750634
data_google_flan-ul2,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.635751900385306,0.05127591651196609,0.6424697044947232,0.4151759133736407,0.6864663819562109,79.49788800921098,1.6769199645445765,79.71728702066892,75.5742965570827,82.52817318630012,224.99322664920547,14.889654831935825,220.6260889281795,205.7548504042874,279.3850229954498,177.99729100300843,3.9002691852812794,178.21635271150456,171.68324154828156,188.43009386640847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_google_flan-ul2,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6357403152261056,0.05129475702268012,0.642463581775566,0.415059200113088,0.6864921581830257,79.6334110324145,1.8961187090075031,79.538236693165,75.56196386537141,83.3914693135018,224.99645848814026,14.893002963311945,220.63007496293406,205.75845876984496,279.4129000194994,179.38740699633553,6.514899029382995,179.08927880772026,165.7393831581989,201.9511458690805,-1.1585159200269775e-05,3.752579647959408e-05,-7.164040627838375e-06,-0.0001167132605526,5.396736210794284e-05,0.13552302320352444,0.6196153423211325,0.00358800977109295,-0.5330183412998792,2.9307012749070793,0.0032318389347655587,0.011004354827537758,0.00210093496549745,-0.0185548826465264,0.0286842721775713,1.3901159933270795,6.347455643630151,0.13954700315669294,-5.943858390082653,30.15580224572426
data_google_flan-ul2,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6361135727150801,0.0526801989020182,0.6448222407437579,0.412246213321042,0.6859799764005489,79.60023305906071,1.9831829668424323,79.45128798891994,75.60515893858982,83.85901401942894,224.85081598208555,15.28405130039321,220.6014818741499,205.8741541900443,280.0839440895743,179.33603479511174,6.876901388067855,178.76284491859812,165.99020888207846,204.8992186914367,0.0003616723297740767,0.00318310779556594,-0.00034073715291215,-0.0059864043935558,0.0088298103369695,0.10234504984973351,0.7238763968102715,-0.00494935683286,-0.8758479653585454,3.3982459808342185,-0.14241066711991265,1.017703052631556,0.09885326247605515,-3.0561341118219616,1.9613443731130928,1.338743792103323,6.873630210849446,0.07956804518174469,-5.693032666203095,33.10387506808044
data_google_flan-ul2,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6357708522711107,0.05469397620574705,0.6456631489148374,0.4104303365658044,0.689537282803075,78.85175515202839,2.00769109853366,78.6539180306917,74.5903094100244,83.00288010535645,224.9042455908341,15.735822971248654,219.62752983970947,206.00997005246077,280.51627282141015,169.33493810334468,8.930466763078623,169.19166989498655,153.8243676446244,197.1656278958682,1.8951885804689966e-05,0.0074067324928319515,0.0011692906221611,-0.0280098729710979,0.0109864795410516,-0.6461328571825983,0.8030981350890453,-0.7966463957602059,-1.8803907455729956,2.5421120667617316,-0.08898105837139478,2.249407278430716,-0.37215114112517256,-3.325980735007164,8.180948857193698,-8.662352899663764,9.356986588935369,-10.88231124979147,-22.81322597295184,25.370284272511952
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.4381929904594502,0.042146748161776576,0.4408769851399343,0.3542381275050799,0.5086378271607774,204.2375834538293,7.937855139243402,204.32476684498562,187.804044416844,220.61466545191385,572.0550042307966,37.04249396032014,577.3284688139024,503.1859011325826,637.8655372848092,477.79763875725763,28.983928248586015,478.00914190029243,433.6030418159545,564.119214330457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.4382348003557335,0.04214300552516101,0.4409264116136294,0.3542832933585494,0.508697640882216,204.00862974556995,8.061417115940126,204.1774531552739,188.3353507826803,220.73856858451165,572.0335955129835,37.04133392619664,577.3239155890449,503.24207763507735,637.8770392659807,477.0593554723046,36.17665330887007,474.22871635400605,407.4888540507184,572.6575486869615,4.180989628331537e-05,0.00013429026470448223,1.8910909369673767e-05,-0.000129091457656,0.0005002460681287,-0.22895370825936448,1.5900028137727578,0.025365278405445148,-4.248119970498436,2.884801561705501,-0.021408717813109955,0.06545561164525425,-0.01029807460520255,-0.2225999311483519,0.0612955171333169,-0.7382832849529639,17.152531464391913,0.37273837967245527,-36.71914492585523,34.60378575405389
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.4375073471654345,0.0412858506174465,0.4423247690994908,0.3543175172347628,0.5076367609769326,203.91017521876293,7.820465456979649,204.15199538175358,188.25818610363237,220.29838142636092,572.4073659939854,36.65394988951545,577.0351743114734,505.6820384284948,639.1531347402903,474.0179416854718,34.83568749734995,472.9992431229948,406.0479553384813,564.4316000755767,-0.0006856432940157279,0.005895937031231835,4.766376621612963e-05,-0.0215131218286298,0.0110834434697818,-0.32740823506638794,1.8778743303030427,0.04089514977471255,-4.665930808222953,3.1259790619939167,0.35236176318870593,2.933879411764035,-0.02520020451993335,-4.809564938368567,11.512260595331329,-3.7796970717858205,17.378951611779417,-0.9727232745060801,-38.16004363809242,33.247489457846086
data_ibm_mpt-7b-instruct2,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.43635615292887653,0.04201333831702036,0.4448178243518575,0.3501193278642583,0.5076910540646191,204.13975758346066,7.8368722064565395,204.42788934283408,188.22090873136065,220.41760242412337,572.9831238570374,36.86395992166418,576.0436271518914,505.6541567813803,640.1340685922078,476.17013928513904,37.87108514737498,473.0657611878947,390.928535681445,565.3469290251269,-0.001836837530573693,0.00843631202586333,0.00030879306829624997,-0.0348710330382245,0.0125893118948662,-0.09782587036866065,1.9979405623664377,0.2612746251470668,-4.624703517670923,3.4091554143903977,0.9281196262408723,4.269952029105025,-0.17446196270174139,-5.466253843736581,18.542696413038016,-1.6274994721185883,24.87632160469948,-5.723144542497437,-53.279463295128664,55.16207860552271
data_llama-13b,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6058722521110093,0.01698330038797562,0.6070037698058887,0.5739968343515527,0.6314339837870133,141.0261408856887,2.1956553345767955,141.10746074151277,135.81886921745684,147.41774245385758,401.44148011545883,15.577176720202822,401.9384570695807,370.4262674679055,433.2152688823441,166.77008331249763,3.0304638358539377,166.93707388058465,158.76231441972132,173.0342963099299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_llama-13b,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6058625851084322,0.01698919940662941,0.6069989863430091,0.5739575098182985,0.6314391889330822,141.1109389522655,2.332177027137494,141.16528647420841,134.76711573357304,147.25898522247724,401.4462543156968,15.576414351144454,401.9400410631552,370.42534414776406,433.2152452659619,166.99181710834247,3.1654296899701175,167.5353387684238,160.4781469801034,172.79522524116553,-9.667002577235401e-06,3.318028384747476e-05,-1.0728506854573716e-06,-0.0001513273451786,5.086281551913707e-05,0.0847980665768091,0.4641545701061352,-0.0117624763389727,-1.0517534838838003,1.565349887099586,0.004774200237979647,0.01644053242061344,0.0005327945977171,-0.0256181862469588,0.0742171774069788,0.2217337958448515,1.3406484709411153,0.12443019379298895,-3.480365032185432,3.019789631534451
