model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔR2_improve_mean,ΔR2_improve_std,ΔR2_improve_median,ΔR2_improve_min,ΔR2_improve_max,ΔRMSE_improve_mean,ΔRMSE_improve_std,ΔRMSE_improve_median,ΔRMSE_improve_min,ΔRMSE_improve_max
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6019975360409341,0.015531326375493159,0.5991489686576801,0.5815443579845416,0.6452991747967896,389.2165773410658,11.091231547068299,390.8153029460949,359.46000783871875,415.1191409451972,0.0004298323841106087,0.0012814282355765258,0.00056263111871235,-0.0025368806026423,0.0027447797002573,-0.20988259474801224,0.6267690162701142,-0.26110349264820343,-1.34439262025694,1.2049231396028404,0.00042983238411062146,0.0012814282355765717,0.0005626311187124089,-0.002536880602642344,0.002744779700257327,0.20988259474800466,0.626769016270105,0.26110349264820343,-1.2049231396028404,1.34439262025694
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6310861206272095,0.015453577240473252,0.6305765487205991,0.6017488077810226,0.6687403225858797,374.7125622023471,10.999793451937219,376.4580303098027,347.3791653267031,398.4021155009973,0.029518416970385906,0.005501323612432211,0.0303293034837418,0.0187099903059472,0.0454339448464096,-14.713897733466643,2.7403411173405727,-14.62575795941683,-22.189494503340597,-8.74763166451612,0.029518416970385944,0.005501323612432208,0.030329303483741854,0.01870999030594722,0.04543394484640961,14.713897733466643,2.740341117340565,14.62575795941683,8.747631664516177,22.18949450334054
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.38250079727287595,0.04617306226461419,0.3871979986675115,0.2571180324012851,0.4700928844938042,413.05914490501357,39.61678659438393,408.039324261548,344.60180559903057,511.18445982399544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.3823753294276127,0.04632259785242779,0.38673902640313923,0.2565841142270312,0.470062339826057,413.09925807727717,39.6385620630824,408.0624098566236,344.5003223313653,511.392855706939,-0.0001254678452632181,0.0003600052989046567,-2.0245243005756475e-05,-0.0013267865791264,0.0007347775108014,0.04011317226357769,0.11667610749179083,0.00747684384842265,-0.2497026939613533,0.4139817747228562,-0.00012546784526324407,0.0003600052989046821,-2.0245243005756475e-05,-0.0013267865791264377,0.000734777510801421,-0.0401131722635796,0.11667610749179656,-0.007476843848422732,-0.41398177472285624,0.24970269396135336
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.38133110743358645,0.046222795124151686,0.3912820349385629,0.2540072382380135,0.4647122088103822,413.4290559430175,39.36102154289536,410.0152738025091,344.4187461450604,512.5003120764611,-0.0011696898392895164,0.00627569225738747,-0.0013396945740729,-0.0174332115550269,0.0161995357388553,0.36991103800393527,2.1182605728211383,0.4263523598772849,-6.302767753829812,5.2839539737558425,-0.001169689839289534,0.006275692257387505,-0.0013396945740729305,-0.017433211555026973,0.016199535738855297,-0.36991103800393904,2.118260572821131,-0.4263523598772849,-5.2839539737558425,6.302767753829755
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.3897980130995908,0.049245864721134854,0.39253526008198514,0.2499829611960452,0.482037008938468,410.57916368279604,39.92741662047409,406.5182808104074,345.3690005377088,505.7799565567038,0.00729721582671483,0.018359666220400177,0.01113423150199825,-0.0383022781619944,0.043703459582682,-2.4799812222175546,6.10267561144903,-3.798621678242114,-14.211944582982142,13.499210557404922,0.007297215826714847,0.018359666220400223,0.011134231501998298,-0.038302278161994496,0.043703459582682014,2.479981222217551,6.102675611449032,3.798621678242114,-13.499210557404922,14.211944582982142
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6398662757372597,0.015401699124380908,0.6417726522384514,0.6003941472549605,0.6709686633988398,260.7897712035042,8.435170042708524,260.18012315262814,242.87627208891843,281.07243614467706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6398597711055695,0.015398686216417,0.641753973434773,0.6004276544882179,0.670968576880567,260.79218156487406,8.435541314524432,260.1857167725738,242.87630402088337,281.0748224204774,-6.5046316903146405e-06,2.00576608726318e-05,-1.635351006445962e-06,-6.231541472634383e-05,3.350723325734606e-05,0.002410361369893116,0.007151656179022973,0.0005835617260032001,-0.0109906160060404,0.0220040367810838,-6.5046316903146405e-06,2.00576608726318e-05,-1.635351006445962e-06,-6.231541472634383e-05,3.350723325734606e-05,-0.0024103613698950237,0.007151656179024175,-0.0005835617259890569,-0.02200403678108387,0.010990616006040455
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6399168979200174,0.015409779179213694,0.6412220753711333,0.6004360460191781,0.670780065742171,260.7767086674273,8.609681543105046,260.2416451122284,242.94586931065004,281.19205585208755,5.062218275769923e-05,0.0016423216248852505,-0.00013441352393685002,-0.0020060020351683,0.0064315691061913,-0.013062536076932007,0.5974950987941491,0.05026385911894235,-2.3700587035482386,0.752334649698355,5.062218275769803e-05,0.0016423216248852815,-0.00013441352393689376,-0.0020060020351683194,0.006431569106191359,0.013062536076927245,0.5974950987941462,-0.05026385911895659,-0.752334649698355,2.3700587035482386
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6581129807606171,0.015575501394637216,0.6625378781513147,0.6180735185492041,0.6892478088168972,254.08478933520118,8.293140636204546,253.36666173714104,236.03345158916633,271.31977592467786,0.01824670502335737,0.006643478949647082,0.01850486328930305,0.0047176359120763,0.0333544610102907,-6.704981868303,2.4618612721555655,-6.882112315580741,-11.702045112750511,-1.730797715518264,0.018246705023357415,0.006643478949647085,0.018504863289303064,0.004717635912076301,0.033354461010290715,6.704981868302997,2.4618612721555673,6.882112315580727,1.7307977155182357,11.702045112750483
