model_n_parameters,model_n_layers,model_n_heads,model_n_positions,model_vocabulary_size,model_relative_attention_max_distance,model_relative_attention_n_buckets,model_is_flash_attention,model_is_encoder_decoder,model_type_codegen,model_type_gpt_bigcode,model_type_gpt_neox,model_type_llama,model_type_mpt,model_type_mt5,model_type_t5,model_torch_dtype_bfloat16,model_torch_dtype_float16,model_torch_dtype_float32,gpu_n_cuda_cores,gpu_n_tensor_cores,gpu_n_rt_cores,gpu_n_sms,gpu_n_rops,gpu_n_tmus,gpu_tflops_cuda_fp32,gpu_tflops_cuda_fp64,gpu_tflops_cuda_mixed,gpu_tflops_tc_fp16,gpu_tflops_tc_bf16,gpu_tflops_tc_fp32,gpu_tflops_tc_tf32,gpu_tflops_tc_fp64,gpu_memory_capacity_gb,gpu_memory_capacity_gb_total,gpu_memory_bandwidth,gpu_system_interface_gen,gpu_compute_capability,gpu_is_sxm,gpu_is_nvlink,gpu_n_gpus,gpu_architecture_Ampere,gpu_architecture_Hopper,gpu_architecture_Turing,gpu_architecture_Volta,num_users,median_nttft
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,2,2.1965909090909093
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,4,3.674649859943978
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,8,6.468354430379747
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,16,11.24705882352941
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,32,34.24444444444445
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,64,104.98424467099166
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,2560,320,40,40,64,160,8.1,0.25,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,64,300,3,7.5,0,0,4,0,0,1,0,128,229.9957687894435
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,80,3350,5,9.0,1,1,1,0,1,0,0,1,0.6547619047619048
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,80,3350,5,9.0,1,1,1,0,1,0,0,2,0.9397590361445785
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,80,3350,5,9.0,1,1,1,0,1,0,0,4,1.7741935483870968
