umap_x,umap_y,tsne_x,tsne_y
-0.014794014,-13.2213125,11.840341,14.141596
-0.013413096,-13.196318,11.835267,14.23877
0.0091873845,-13.190285,11.849857,14.385495
0.0011853934,-13.154394,11.892717,14.561979
-0.048806496,-13.099872,11.963568,14.842934
0.105204515,-13.437284,12.090136,15.307594
-7.83563,7.1871305,6.358915,25.788431
-7.7878647,7.1801867,6.37229,25.764828
-7.784673,7.154765,6.401332,25.70548
-7.8797755,7.119593,6.452669,25.59362
-7.8304663,7.1769075,6.4755774,25.442034
-7.838941,7.2074165,6.4785438,25.27202
-7.7782707,7.2032537,6.4943123,25.018028
-7.9407215,7.420239,6.534784,24.584726
-2.3289282,-13.17073,6.15844,11.12459
-2.3730433,-13.124752,6.157082,11.135714
-2.3790486,-13.121701,6.153686,11.160693
-2.3392107,-13.156908,6.148275,11.223554
-2.3759863,-13.123314,6.1477838,11.410508
-2.3968494,-13.101362,6.144258,11.634118
-2.4393995,-13.062717,6.116638,11.92164
-2.6381814,-12.908478,6.0191092,12.390391
-3.6400523,-12.505363,1.0230268,6.783965
-3.6643157,-12.475444,1.027818,6.7798514
-3.7091558,-12.432804,1.0380969,6.772411
-3.6959975,-12.446471,1.0598311,6.7577577
-3.7049546,-12.455051,1.1130521,6.7248783
-3.547635,-12.567491,1.2549231,6.650807
-3.3957622,-12.725886,1.5704056,6.4920235
-3.300816,-12.78556,2.0812564,6.196649
-17.15475,-12.833952,-19.275318,-7.5458994
-17.20016,-12.878273,-19.273031,-7.5410914
-17.113846,-12.798643,-19.268764,-7.5316195
-17.149035,-12.829792,-19.261854,-7.5138702
-17.242275,-12.917058,-19.254261,-7.478647
-17.14406,-12.82848,-19.249924,-7.406138
-17.053516,-12.770393,-19.27308,-7.186099
-17.059519,-12.793591,-19.738829,-5.982528
0.0026052075,-13.25399,12.29245,13.937255
-0.028439125,-13.209246,12.294147,13.952323
0.019705841,-13.248017,12.300907,13.990941
-0.00841706,-13.246117,12.315598,14.134438
0.013466421,-13.249639,12.336738,14.355122
-0.04582784,-13.190954,12.345622,14.5475235
-0.04714395,-13.152501,12.349111,14.835353
-0.04343841,-13.235396,12.371291,15.323317
-7.844009,7.259455,5.912312,25.805683
-7.7497263,7.132965,5.915616,25.790615
-7.809873,7.1809306,5.923819,25.755703
-7.814506,7.210515,5.9677553,25.55743
-7.7924786,7.195049,6.0170436,25.323084
-7.769166,7.1425695,6.0624676,25.152582
-7.826164,7.244497,6.14086,24.910229
-7.8112354,7.3394337,6.277907,24.487478
-4.0981574,-12.431125,0.497034,5.726459
-4.070158,-12.437155,0.50148517,5.7269406
-4.1021285,-12.424925,0.5101112,5.7271996
-4.091226,-12.438743,0.52830577,5.7265105
-4.0881333,-12.432,0.5667658,5.7200837
-4.0877056,-12.456891,0.6650956,5.6869817
-4.067955,-12.46349,0.94061977,5.5785456
-3.9162424,-12.57047,1.5146636,5.442284
-16.617653,-12.435567,-18.364586,-8.6418
-16.649294,-12.4379635,-18.362812,-8.641544
-16.629267,-12.441843,-18.355818,-8.643064
-16.612274,-12.467437,-18.343042,-8.646159
-16.64279,-12.433779,-18.319939,-8.659632
-16.617075,-12.448127,-18.264288,-8.693995
-16.640783,-12.509076,-18.098585,-8.843952
-16.560375,-12.549272,-17.759884,-9.167543
-0.08581995,-13.533718,12.958261,13.8705225
-0.06801543,-13.525404,12.961759,13.884638
-0.11247687,-13.567991,12.963662,13.905737
-0.112596266,-13.506222,12.96301,13.967158
