umap_x,umap_y,tsne_x,tsne_y,median_itl,median_itl_oof_pred,median_itl_resid
0.105204515,-13.437284,12.090136,15.307594,36.0,86.95,-50.95
-7.83563,7.1871305,6.358915,25.788431,23.0,23.935,-0.9349999999999987
-7.7878647,7.1801867,6.37229,25.764828,24.0,25.93,-1.9299999999999997
-7.784673,7.154765,6.401332,25.70548,25.0,25.75,-0.75
-7.8797755,7.119593,6.452669,25.59362,26.0,28.52,-2.5199999999999996
-7.8304663,7.1769075,6.4755774,25.442034,27.0,31.355,-4.355
-7.838941,7.2074165,6.4785438,25.27202,27.0,39.055,-12.055
-7.7782707,7.2032537,6.4943123,25.018028,27.0,105.665,-78.665
-7.9407215,7.420239,6.534784,24.584726,27.0,93.84,-66.84
-2.3289282,-13.17073,6.15844,11.12459,26.0,25.35,0.6499999999999986
-2.3730433,-13.124752,6.157082,11.135714,30.0,27.7,2.3000000000000007
-2.3790486,-13.121701,6.153686,11.160693,30.0,29.94,0.05999999999999872
-2.3392107,-13.156908,6.148275,11.223554,32.0,31.39,0.6099999999999994
-2.3759863,-13.123314,6.1477838,11.410508,34.0,34.015,-0.015000000000000568
-2.3968494,-13.101362,6.144258,11.634118,47.0,41.93,5.07
-2.4393995,-13.062717,6.116638,11.92164,67.0,65.305,1.6949999999999932
-2.6381814,-12.908478,6.0191092,12.390391,167.0,80.895,86.105
-3.6400523,-12.505363,1.0230268,6.783965,25.0,26.405,-1.4050000000000011
-3.6643157,-12.475444,1.027818,6.7798514,29.0,29.12,-0.120000000000001
-3.7091558,-12.432804,1.0380969,6.772411,31.0,29.72,1.2800000000000011
-3.6959975,-12.446471,1.0598311,6.7577577,32.0,31.425,0.5749999999999993
-3.7049546,-12.455051,1.1130521,6.7248783,35.0,33.5,1.5
-3.547635,-12.567491,1.2549231,6.650807,47.0,36.09,10.909999999999997
-3.3957622,-12.725886,1.5704056,6.4920235,66.0,53.8,12.200000000000003
-3.300816,-12.78556,2.0812564,6.196649,91.0,90.885,0.11499999999999488
-17.15475,-12.833952,-19.275318,-7.5458994,17.0,17.375,-0.375
-17.20016,-12.878273,-19.273031,-7.5410914,21.0,21.38,-0.379999999999999
-17.113846,-12.798643,-19.268764,-7.5316195,22.0,22.12,-0.120000000000001
-17.149035,-12.829792,-19.261854,-7.5138702,23.0,23.145,-0.14499999999999957
-17.242275,-12.917058,-19.254261,-7.478647,25.0,24.105,0.8949999999999996
-17.14406,-12.82848,-19.249924,-7.406138,33.0,35.845,-2.844999999999999
-17.053516,-12.770393,-19.27308,-7.186099,46.0,54.09,-8.090000000000003
-17.059519,-12.793591,-19.738829,-5.982528,74.0,86.215,-12.215000000000003
0.0026052075,-13.25399,12.29245,13.937255,26.0,27.195,-1.1950000000000003
-0.028439125,-13.209246,12.294147,13.952323,30.0,30.36,-0.35999999999999943
0.019705841,-13.248017,12.300907,13.990941,31.0,31.285,-0.28500000000000014
-0.00841706,-13.246117,12.315598,14.134438,32.0,32.98,-0.9799999999999969
0.013466421,-13.249639,12.336738,14.355122,38.0,38.285,-0.2849999999999966
-0.04582784,-13.190954,12.345622,14.5475235,62.0,48.9,13.100000000000001
-0.04714395,-13.152501,12.349111,14.835353,120.0,103.31,16.689999999999998
-0.04343841,-13.235396,12.371291,15.323317,181.0,179.99,1.009999999999991
-7.844009,7.259455,5.912312,25.805683,29.0,28.11,0.8900000000000006
-7.7497263,7.132965,5.915616,25.790615,34.0,32.07,1.9299999999999997
-7.809873,7.1809306,5.923819,25.755703,34.0,33.705,0.2950000000000017
-7.814506,7.210515,5.9677553,25.55743,36.0,35.09,0.9099999999999966
-7.7924786,7.195049,6.0170436,25.323084,39.0,37.915,1.0850000000000009
-7.769166,7.1425695,6.0624676,25.152582,49.0,43.485,5.515000000000001
-7.826164,7.244497,6.14086,24.910229,62.0,44.415,17.585
-7.8112354,7.3394337,6.277907,24.487478,123.0,78.59,44.41
-4.0981574,-12.431125,0.497034,5.726459,28.0,25.485,2.5150000000000006
-4.070158,-12.437155,0.50148517,5.7269406,30.0,29.21,0.7899999999999991
-4.1021285,-12.424925,0.5101112,5.7271996,31.0,30.715,0.28500000000000014
-4.091226,-12.438743,0.52830577,5.7265105,33.0,31.095,1.9050000000000011
-4.0881333,-12.432,0.5667658,5.7200837,37.0,33.135,3.865000000000002
-4.0877056,-12.456891,0.6650956,5.6869817,45.0,44.135,0.865000000000002
-4.067955,-12.46349,0.94061977,5.5785456,58.0,55.115,2.884999999999998
-3.9162424,-12.57047,1.5146636,5.442284,81.0,86.175,-5.174999999999997
-16.617653,-12.435567,-18.364586,-8.6418,17.0,17.665,-0.6649999999999991
-16.649294,-12.4379635,-18.362812,-8.641544,22.0,21.625,0.375
-16.629267,-12.441843,-18.355818,-8.643064,23.0,22.37,0.629999999999999
-16.612274,-12.467437,-18.343042,-8.646159,24.0,23.07,0.9299999999999997
-16.64279,-12.433779,-18.319939,-8.659632,26.0,24.59,1.4100000000000001
-16.617075,-12.448127,-18.264288,-8.693995,32.0,32.9,-0.8999999999999986
-16.640783,-12.509076,-18.098585,-8.843952,41.0,48.775,-7.774999999999999
-16.560375,-12.549272,-17.759884,-9.167543,60.0,71.325,-11.325000000000003
-0.08581995,-13.533718,12.958261,13.8705225,26.0,25.795,0.2049999999999983
-0.06801543,-13.525404,12.961759,13.884638,30.0,29.335,0.6649999999999991
-0.11247687,-13.567991,12.963662,13.905737,31.0,31.405,-0.40500000000000114
-0.112596266,-13.506222,12.96301,13.967158,33.0,33.24,-0.240000000000002
-0.08709461,-13.549363,12.962983,14.191663,36.0,38.54,-2.539999999999999
-0.12538597,-13.585033,12.935909,14.490031,50.0,55.96,-5.960000000000001
-0.07509981,-13.573292,12.938674,14.7938,86.0,114.415,-28.415000000000006
-0.068735406,-13.439889,12.892707,15.324965,229.0,157.87,71.13
-7.96335,7.4830794,5.3194647,25.67578,29.0,28.495,0.504999999999999
-7.962151,7.4913354,5.3220534,25.665792,34.0,32.785,1.2150000000000034
-7.9269376,7.4513254,5.3290477,25.644218,34.0,33.795,0.2049999999999983
-7.945188,7.489312,5.345018,25.589615,36.0,35.425,0.5750000000000028
-7.9533777,7.492087,5.4333973,25.35013,40.0,38.58,1.4200000000000017
-7.9751062,7.5067716,5.5501904,25.062754,49.0,44.91,4.090000000000003
-7.930783,7.4572134,5.670987,24.769386,64.0,62.93,1.0700000000000003
-7.888692,7.4817405,5.854665,24.330635,93.0,91.62,1.3799999999999955
-16.851732,-19.645582,-0.02758092,7.987483,20.0,20.185,-0.18499999999999872
-16.835754,-19.743563,-0.033539657,7.986154,21.0,20.965,0.03500000000000014
